C0 (279 genes)	C1 (129 genes)	C2 (65 genes)	C3 (67 genes)	C4 (89 genes)	C5 (235 genes)	C6 (103 genes)	C7 (37 genes)
MED134_10840					MED134_13101		
MED134_10870					MED134_13111		
MED134_10980					MED134_13116		
MED134_10990					MED134_13366		
MED134_10995					MED134_13401		
MED134_11125					MED134_13451		
MED134_11140					MED134_13461		
MED134_11165					MED134_13536		
MED134_11471					MED134_13711		
MED134_11591					MED134_13891		
MED134_11631					MED134_14056		
MED134_11786					MED134_14061		
MED134_11861					MED134_14076		
MED134_11881					MED134_14181		
MED134_11896					MED134_14226		
MED134_12041					MED134_14246		
MED134_12046					MED134_14326		
MED134_12096					MED134_14341		
MED134_12101					MED134_14346		
MED134_12141					MED134_14381		
MED134_12146					MED134_14411		
MED134_12171					MED134_14436		
MED134_12206					MED134_14446		
MED134_12211					MED134_14471		
MED134_12216					MED134_14527		
MED134_12221					MED134_14612		
MED134_12231					MED134_14667		
MED134_12236					MED134_14692		
MED134_12241					MED134_14717		
MED134_12346					MED134_14767		
MED134_12536					MED134_14792		
MED134_12551					MED134_14802		
MED134_12556							
MED134_12701							
MED134_12711							
MED134_12741							
MED134_12746							
MED134_12771							
MED134_12791							
MED134_12796							
MED134_12801							
MED134_12806							
MED134_12811							
MED134_12816							
MED134_12826							
MED134_12831							
MED134_12856							
MED134_12981							
MED134_12991							
MED134_13056							
MED134_13091							
MED134_13136							
MED134_13151							
MED134_13161							
MED134_13176							
MED134_13376							
MED134_13391							
MED134_13441							
MED134_13501							
MED134_13661							
MED134_13781							
MED134_13816							
MED134_13871							
MED134_13906							
MED134_13916							
MED134_14126							
MED134_14141							
MED134_14166							
MED134_14176							
MED134_14216							
MED134_14311							
MED134_14522							
MED134_14597							
MED134_14622							
MED134_14627							
MED134_14752							
