ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_06804	486.635355458086	611.2700734022441	396.648787872219	1865.028082181161	3177.1989867670704	2182.757730303248	962.7433749827941	1035.4589259090071	881.467163119457	689.6793663399101	566.932628934571	870.545313172245	290.617950402014	1006.462012701644	802.3586040225609	1517.842878636418	1779.361879895419	928.411846433729	632.315239961045	731.959352187153	1055.081372866222	539.7461435924561	393.655640733536	640.131231495289	996.635290518923
MED134_07089	18.163683562976	27.817013708973	23.133829669338997	139.533186338105	227.425898733459	141.265919246649	131.177654388732	132.385855963534	327.166717419504	228.154280823433	186.804426606039	311.338250483085	18.129286130938	71.327726624967	54.232833127755	227.445355237166	182.724838941101	119.15580304134501	176.57661013364302	173.379439264052	238.59640091647	362.913307580553	343.275228843155	407.483391352427	424.14350982697897
MED134_07119	42.129654930793	47.183289075979005	43.134953237622	342.937197408443	635.777977128482	437.525793779592	382.311275917604	357.198582494785	537.824423959401	402.49599962353	366.08652730847996	485.597536640083	88.22919250390001	317.269433364301	277.629006673876	822.632547534135	768.074409204149	435.98481197022994	463.992628297755	484.31179715991703	706.487987120464	429.902277345266	419.62815121118604	599.5693836146701	644.3718706986799
MED134_07209	435.42385874580503	532.044401446308	1445.141422156559	1160.483753981007	1704.4260663444418	1363.061126774883	779.7137864109039	503.483215987299	1338.08833707186	922.775617145078	617.332212488683	1154.843329596486	143.276297665114	1035.64153723004	1256.334107820465	1055.359652675213	1420.2130585284258	871.718769618268	363.47071835523	571.655285416619	768.765691766458	1469.246293088702	1319.9042071653869	1166.036569533663	967.83227572899
MED134_07319	70.636547189354	96.47926273745101	150.610870243096	173.433854849828	313.661741375886	155.436795158539	79.712674938286	101.808545399778	127.689168489267	147.435437788428	79.98739877493499	126.93887655402	41.093048563459995	171.371810722323	153.00123783062202	131.71363822878	158.15149853178102	105.107960998576	56.893632313511	58.839176220832	90.990152891874	83.003167923954	91.999013017217	119.354402959063	93.800968519428
MED134_08766	115.79348271397699	179.226075669206	135.91124930736999	391.08597297581696	715.2502242695421	441.954192502057	204.31209887094602	310.29020833447703	401.897244599859	331.111988776246	267.293313774547	309.836015257593	67.023421453772	207.035674034806	340.481627848428	280.59296364527	310.00214054835203	164.309581035961	200.45424856573902	194.30003525368102	285.506879740725	233.671961872873	236.881812428686	344.542592916984	393.04644961129895
MED134_08771	966.4593295800571	1405.991591644678	996.6824949207149	3922.651266631821	6676.5142092867345	4195.907789536068	2339.528313965423	2643.894955450215	2635.57504914022	2304.605334815766	1782.791239152941	2015.2485549966639	652.6543007137869	2075.914745020143	2495.42863954734	2992.771539303561	3103.1718337411266	1557.303632169843	2029.3044810684542	1861.671535627132	2548.937483011039	1535.107502419666	1639.397378221779	2317.620066834002	2633.309254821227
MED134_10201	32.038719618028	50.704430051799	30.363151441007997	310.510471005925	591.814606369597	383.056489493266	304.146419910159	428.77728676903195	573.1301848320101	432.14781951393996	333.991270119791	419.12362791209	64.166685457382	191.287994130593	185.325443006106	614.3335356986461	502.80834991379004	253.86457405861498	473.425769406731	412.135740995696	546.749718710284	470.501652960244	423.696134779975	597.7044710684349	673.4297794248071
MED134_10206	28.759165641379	41.197349417086	16.627440074837	293.314479731863	530.942246857296	340.54386175759697	288.281275869044	367.970135079744	474.27405438870596	414.850924577867	299.890059356809	331.993984833591	69.990031911562	211.204177538863	187.839547853088	571.419317729369	458.702354307317	233.294519638845	405.919853345622	340.221192281345	515.206465707768	402.836026935281	395.846093424422	525.905338038373	638.764204102409
MED134_10211	31.029626086752	38.380436636431	32.290970580119	259.905125256542	528.405898544283	322.83026686773496	294.859506325116	330.790905189723	424.845989167054	344.290575394206	228.42796327262002	296.31589822817097	53.398988240217996	190.36166001858	182.093022488558	498.79525655059297	391.91327524608704	201.68687504261501	361.407218737641	303.087134399753	519.250472502962	354.567880370807	364.553912126049	459.234714510459	481.494645470651
