C0 (380 genes)	C1 (156 genes)	C2 (93 genes)	C3 (135 genes)	C4 (154 genes)	C5 (375 genes)	C6 (89 genes)	C7 (131 genes)
MED134_07581					MED134_09221		
MED134_07611					MED134_09231		
MED134_07631					MED134_09256		
MED134_07721					MED134_09341		
MED134_07786					MED134_09636		
MED134_07891					MED134_09751		
MED134_07946					MED134_09811		
MED134_08006					MED134_09871		
MED134_08046					MED134_09876		
MED134_08111					MED134_09886		
MED134_08161					MED134_09926		
MED134_08166					MED134_09931		
MED134_08266					MED134_10016		
MED134_08501					MED134_10021		
MED134_08506					MED134_10036		
MED134_08511					MED134_10041		
MED134_08521					MED134_10056		
MED134_08536					MED134_10061		
MED134_08541					MED134_10136		
MED134_08576					MED134_10181		
MED134_08581					MED134_10256		
MED134_08621					MED134_10281		
MED134_08631					MED134_10321		
MED134_08646					MED134_10371		
MED134_08651					MED134_10381		
MED134_08656					MED134_10461		
MED134_08726					MED134_10525		
MED134_08791					MED134_10535		
MED134_08801					MED134_10540		
MED134_08811					MED134_10545		
MED134_08821					MED134_10555		
MED134_08851					MED134_10565		
MED134_08856					MED134_10570		
MED134_08911					MED134_10585		
MED134_08981					MED134_10610		
MED134_08986					MED134_10690		
MED134_09101					MED134_10735		
MED134_09111					MED134_10740		
MED134_09121					MED134_10755		
MED134_09126					MED134_10825		
MED134_09131					MED134_10830		
MED134_09156					MED134_10855		
MED134_09236					MED134_10860		
MED134_09301					MED134_10865		
MED134_09336					MED134_10900		
MED134_09401					MED134_11025		
MED134_09406					MED134_11040		
MED134_09486					MED134_11120		
MED134_09571					MED134_11175		
MED134_09621					MED134_11215		
MED134_09746					MED134_11240		
MED134_09766					MED134_11286		
MED134_09816					MED134_11291		
MED134_09821					MED134_11301		
MED134_09896					MED134_11346		
MED134_09971					MED134_11351		
MED134_09976					MED134_11356		
MED134_09996					MED134_11421		
MED134_10046					MED134_11451		
MED134_10071					MED134_11501		
MED134_10076					MED134_11601		
MED134_10086					MED134_11636		
MED134_10091					MED134_11646		
MED134_10096					MED134_11836		
MED134_10101					MED134_11991		
MED134_10106					MED134_11996		
MED134_10226					MED134_12011		
MED134_10625					MED134_12016		
MED134_10630					MED134_12061		
MED134_10640					MED134_12081		
MED134_10840					MED134_12106		
MED134_10960					MED134_12161		
MED134_10965					MED134_12191		
MED134_10980					MED134_12196		
MED134_10995					MED134_12201		
MED134_11075					MED134_12256		
MED134_11125					MED134_12306		
MED134_11140					MED134_12311		
MED134_11165					MED134_12351		
MED134_11205					MED134_12391		
MED134_11456					MED134_12396		
MED134_11471					MED134_12401		
MED134_11591					MED134_12416		
MED134_11631					MED134_12421		
MED134_11776					MED134_12431		
MED134_11786					MED134_12436		
MED134_11861					MED134_12446		
MED134_11891					MED134_12451		
MED134_11896					MED134_12456		
MED134_12036					MED134_12461		
MED134_12041					MED134_12466		
MED134_12046					MED134_12476		
MED134_12096					MED134_12481		
MED134_12101					MED134_12491		
MED134_12146					MED134_12501		
MED134_12171					MED134_12511		
MED134_12211					MED134_12596		
MED134_12216					MED134_12601		
MED134_12221					MED134_12636		
MED134_12226					MED134_12781		
MED134_12231					MED134_12901		
MED134_12236					MED134_12921		
MED134_12241					MED134_12926		
MED134_12246					MED134_12931		
MED134_12271					MED134_12936		
MED134_12346					MED134_12941		
MED134_12551					MED134_12951		
MED134_12556					MED134_12996		
MED134_12701					MED134_13011		
MED134_12711					MED134_13046		
MED134_12736					MED134_13101		
MED134_12741					MED134_13111		
MED134_12791					MED134_13116		
MED134_12796					MED134_13366		
MED134_12801					MED134_13406		
MED134_12806					MED134_13421		
MED134_12811					MED134_13451		
MED134_12816					MED134_13456		
MED134_12831					MED134_13461		
MED134_12846					MED134_13516		
MED134_12856					MED134_13536		
MED134_12981					MED134_13711		
MED134_12991					MED134_13806		
MED134_13066					MED134_13921		
MED134_13071					MED134_14001		
MED134_13076					MED134_14056		
MED134_13091					MED134_14061		
MED134_13136					MED134_14066		
MED134_13151					MED134_14076		
MED134_13176					MED134_14181		
MED134_13211					MED134_14191		
MED134_13391					MED134_14226		
MED134_13441					MED134_14246		
MED134_13501					MED134_14326		
MED134_13506					MED134_14341		
MED134_13656					MED134_14346		
MED134_13661					MED134_14361		
MED134_13666					MED134_14376		
MED134_13686					MED134_14381		
MED134_13781					MED134_14411		
MED134_13811					MED134_14436		
MED134_13816					MED134_14441		
MED134_13866					MED134_14446		
MED134_13906					MED134_14527		
MED134_13946					MED134_14612		
MED134_13956					MED134_14637		
MED134_14006					MED134_14642		
MED134_14126					MED134_14647		
MED134_14141					MED134_14717		
MED134_14161					MED134_14732		
MED134_14166					MED134_14747		
MED134_14216					MED134_14782		
MED134_14271					MED134_14792		
MED134_14311					MED134_14802		
MED134_14522					MED134_15094		
MED134_14562					MED134_15124		
MED134_14582					MED134_15334		
MED134_14597					MED134_15519		
MED134_14602					MED134_16148		
MED134_14622					MED134_16155		
MED134_14722					MED134_16545		
MED134_14752					MED134_17085		
MED134_15304					MED134_17819		
MED134_15306							
MED134_15821							
MED134_16706							
MED134_16708							
MED134_17467							
