"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_09241",185.728838864703,169.775990035522,155.568669430438,291.278200731127,273.642850404961,264.008678384125,319.312689897326,285.37943977762,264.390919427532,265.425577196952,334.87303562102,256.917932570689,214.636671849584,261.709144267103,300.386420607717,281.628584166119,185.114845737835,164.425012751442,168.115363595643,258.635324237501,283.329823391739,266.556171776752,249.157605608923,238.402726802166,235.927685566098,242.495203856354,292.65268421979,283.808106959885,276.130507468185,309.38924252814,317.537637579657,317.275387602896,287.739485639184
"MED134_09246",144.007143177704,149.165565705929,154.917754495583,338.194169960335,273.652707856345,297.053667064355,329.537304342443,301.749557092336,272.59117655721,231.114465998321,309.8753167042,229.070184634705,185.002277519898,209.37652728078,256.079739232665,235.71702522599,148.129926918272,134.331686676645,143.727254756817,255.16818958286,268.765940127175,262.530308651392,290.320518368897,218.13021272722,194.708284659459,204.452892684901,253.327122116575,271.171395628095,247.700081988835,145.665119269164,114.692698946682,157.28374477896,233.554153452039
"MED134_09251",263.427507271806,260.575665908449,238.517361318697,271.538769984788,261.8051853365,259.173207541584,257.895177832858,263.020831638474,274.949430458166,285.023499638266,281.88086892481,265.370857140328,274.8423186902,270.85171855995,305.077997165596,276.005904396784,270.076513970091,239.635646701131,254.975639572417,263.693666543377,274.1314779453,242.122377912005,289.537000996785,277.56293689165,268.080433125953,271.706930222654,248.530081741544,253.912610101394,286.737928567477,310.468468264197,331.3153570282,313.499995499057,295.109213409956
"MED134_09256",66.1733010818819,77.8151184837874,1014.55637419157,62.8511679035436,53.4904741872291,63.2520304141052,59.6787065174705,59.2623335095125,53.3270805903516,55.8783420013719,68.6195052278628,57.5313239470435,64.9617117806025,54.6352152862518,50.3659262477389,55.944856201705,74.9834983771443,75.2257445389215,1017.38995671014,58.9412891288959,208.790236314013,67.5200150234172,63.0880899490992,46.0954411800917,51.1301755422128,62.9848351916934,66.3553623092448,73.2984499697758,57.5147507447247,47.7560327730552,46.4458037056812,50.842290182207,66.5841659295994
"MED134_09261",53.4306877023819,54.5363253582612,347.181753378493,47.1682056229133,47.5917752793643,40.3037638730532,44.0007196139058,47.8480967297476,39.4324571130177,45.0000653372393,45.0660015879907,52.3390664286568,51.6740889163883,49.0946457012152,57.4193883023788,52.1005442023111,55.3061517533285,59.9264111222161,347.847596368181,48.5075826681908,93.1186341473229,57.2112892580428,50.4457638300565,40.0735743341963,39.8216943766804,50.6366430017965,66.5421472840773,71.3145553437521,49.6910530331261,32.959038062485,31.3983111785855,44.4997912057546,52.1822042153331
"MED134_09266",67.5715115909563,58.1056738976907,96.601013579142,65.1024527201902,68.7642212025783,88.0769070022732,70.0525029803195,77.4258895630085,59.3734282948428,74.1848903204488,67.7252916426344,87.5748640386806,106.911908102872,86.3109593713273,90.3265143731911,86.2818966591114,62.7152503917894,76.3700001341518,120.535191102423,63.3302207032115,75.216854808205,80.2334709704317,63.6636662926822,57.1661551235257,63.0187733452006,67.2964066831177,92.363738752181,93.271248060865,82.636136127478,83.4506630470442,86.7522195652091,105.561335856695,83.7085419373556
"MED134_09271",260.609188664231,285.280700814568,257.429737353206,430.788573612133,377.937766495568,474.237845047935,455.078807877376,378.669704237616,360.746647652326,309.597086743584,431.723449613465,393.948656166094,406.933450216558,392.272678974512,457.624475323001,329.40632300727,256.114379647175,230.945428769027,255.573662319679,355.569733331927,358.746385010955,316.909438584307,352.66993820477,272.222768893531,261.233615251441,261.828677145024,324.234881768157,353.858128007116,350.810904990514,295.903881276458,289.767904815578,299.414543414582,372.742425278755
"MED134_09276",46.3095868112892,38.0398478450215,50.4343356302285,35.6133417245993,38.7362790654106,42.493104132824,37.620788637579,45.0314121126019,22.5504932240605,31.5761328030628,26.0712405880938,53.3849222211304,53.5254508322136,52.4720232417453,56.9638492300734,59.721724130934,37.7332419369687,44.0443480999673,42.2214166324086,40.6609472831224,41.012773593078,49.1553693999009,40.3566110640452,24.0585855282058,29.5692581448941,32.6933996228069,50.8470209266244,57.3385981328092,58.8304476571857,38.075755859598,30.3740811535566,38.0322608874726,47.4584943362682
"MED134_09281",245.691474818272,225.165228020933,248.029142017261,218.505465345596,230.596762854677,212.424219778874,209.571728416441,230.145199316556,251.884496357046,244.106407872623,234.100161288546,251.903123627758,258.891478793005,264.130809408281,271.322570753341,299.989491340258,248.323509189933,243.086907625373,237.375022146254,233.678559925009,235.008540833405,234.25752125181,230.967294909576,259.238910474941,245.406093978798,261.14897940215,275.436316951306,291.503566386651,306.270059439729,299.65494872421,302.218989527579,294.572808033914,286.721792353915
"MED134_09286",19.3804005771864,20.0215550630329,19.1987360035597,28.077200659331,25.773292387205,29.8546399059653,26.4316379524668,24.6304408792684,26.6373610705364,28.4674326372535,33.5201664704063,52.8110898394192,54.174934035957,50.7702843264241,66.4133037037608,48.6103135712825,19.9231517427195,19.4660288477534,18.9609416852262,24.894457520279,30.6743736014711,25.2905979617329,26.8259688705607,23.6109167698778,24.2010297316842,25.4017230305483,39.7696342247527,52.4147307999758,48.9962845104745,45.1285290394025,41.6116486261103,43.2210615734054,46.1881920253402
